2023-09-26 01:30:10,116 INFO    StreamThr :187620 [internal.py:wandb_internal():86] W&B internal server running at pid: 187620, started at: 2023-09-26 01:30:10.116638
2023-09-26 01:30:10,118 DEBUG   HandlerThread:187620 [handler.py:handle_request():144] handle_request: status
2023-09-26 01:30:10,120 INFO    WriterThread:187620 [datastore.py:open_for_write():85] open: /home/xander/Documents/research_projects/not_sota/DDPM_Vanilla/ddpm-vanilla/wandb/run-20230926_013010-h7m7mija/run-h7m7mija.wandb
2023-09-26 01:30:10,120 DEBUG   SenderThread:187620 [sender.py:send():380] send: header
2023-09-26 01:30:10,121 DEBUG   SenderThread:187620 [sender.py:send():380] send: run
2023-09-26 01:30:11,269 INFO    SenderThread:187620 [dir_watcher.py:__init__():211] watching files in: /home/xander/Documents/research_projects/not_sota/DDPM_Vanilla/ddpm-vanilla/wandb/run-20230926_013010-h7m7mija/files
2023-09-26 01:30:11,269 INFO    SenderThread:187620 [sender.py:_start_run_threads():1122] run started: h7m7mija with start time 1695717010.116525
2023-09-26 01:30:11,276 DEBUG   HandlerThread:187620 [handler.py:handle_request():144] handle_request: check_version
2023-09-26 01:30:11,277 DEBUG   SenderThread:187620 [sender.py:send_request():407] send_request: check_version
2023-09-26 01:30:11,729 DEBUG   HandlerThread:187620 [handler.py:handle_request():144] handle_request: run_start
2023-09-26 01:30:11,738 DEBUG   HandlerThread:187620 [system_info.py:__init__():32] System info init
2023-09-26 01:30:11,738 DEBUG   HandlerThread:187620 [system_info.py:__init__():47] System info init done
2023-09-26 01:30:11,738 INFO    HandlerThread:187620 [system_monitor.py:start():181] Starting system monitor
2023-09-26 01:30:11,738 INFO    SystemMonitor:187620 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-09-26 01:30:11,739 INFO    SystemMonitor:187620 [interfaces.py:start():190] Started cpu monitoring
2023-09-26 01:30:11,739 INFO    HandlerThread:187620 [system_monitor.py:probe():201] Collecting system info
2023-09-26 01:30:11,739 INFO    SystemMonitor:187620 [interfaces.py:start():190] Started disk monitoring
2023-09-26 01:30:11,740 INFO    SystemMonitor:187620 [interfaces.py:start():190] Started gpu monitoring
2023-09-26 01:30:11,740 INFO    SystemMonitor:187620 [interfaces.py:start():190] Started memory monitoring
2023-09-26 01:30:11,741 INFO    SystemMonitor:187620 [interfaces.py:start():190] Started network monitoring
2023-09-26 01:30:11,747 DEBUG   HandlerThread:187620 [system_info.py:probe():196] Probing system
2023-09-26 01:30:11,749 DEBUG   HandlerThread:187620 [system_info.py:_probe_git():181] Probing git
2023-09-26 01:30:11,753 DEBUG   HandlerThread:187620 [system_info.py:_probe_git():189] Probing git done
2023-09-26 01:30:11,753 DEBUG   HandlerThread:187620 [system_info.py:probe():244] Probing system done
